Rank,Title,Author,Price
1,É assim que começa (Vol. 2 É assim que acaba) + BRINDE,Colleen Hoover,"49,90"
2,Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,Joshua Weissman,"86,69"
3,É assim que começa (Vol. 2 É assim que acaba),Colleen Hoover,"49,90"
4,Fogo & Sangue – Volume 1,George R. R. Martin,"72,31"
5,É Assim que Acaba: 1,Colleen Hoover,"34,88"
6,A revolução dos bichos: Um conto de fadas,George Orwell,"8,40"
7,O homem mais rico da Babilônia,George S Clason,"17,99"
8,Verity,Colleen Hoover,"35,81"
9,Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,Napoleon Hill,"26,40"
10,A raiva não educa. A calma educa.: Por uma geração de adultos e crianças com mais saúde emocional,Maya Eigenmann,"29,90"
11,Todas as suas (im)perfeições,Colleen Hoover,"39,90"
12,Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas,T. Harv Eker,"29,90"
13,Mulheres que correm com os lobos: Mitos e histórias do arquétipo da Mulher Selvagem,Clarissa Pinkola Estés,"39,90"
14,Do Mil ao Milhão. Sem Cortar o Cafezinho.,Thiago Nigro,"19,35"
15,A Biblioteca da Meia-Noite,Matt Haig,"32,45"
16,12 regras para a vida: um antídoto para o caos,Jordan B. Peterson,"49,89"
17,"Pai Rico, Pai Pobre - Edição de 20 anos atualizada e ampliada: O que os ricos ensinam a seus filhos sobre dinheiro",Robert T. Kiyosaki,"47,89"
18,Como fazer amigos e influenciar pessoas,Dale Carnegie,"37,40"
19,Os sete maridos de Evelyn Hugo,Taylor Jenkins Reid,"31,40"
20,O curioso caso de Benjamin Button,Francis S. Fitzgerald,"29,95"
21,Até o verão terminar,Colleen Hoover,"34,88"
22,O Cérebro da Criança: 12 estratégias revolucionárias para nutrir a mente em desenvolvimento do seu filho e ajudar sua família a prosperar,Daniel J. Siegel,"27,75"
23,Perigoso!,Tim Warnes,"19,90"
24,AS 48 LEIS DO PODER (CAPA DURA),ROBERT GREENE,"51,90"
25,A hipótese do amor (Sucesso do TikTok),Ali Hazelwood,"41,20"
26,Como as democracias morrem,Steven Levitsky,"40,80"
27,Álbum Capa Dura Ouro Copa Do Mundo Qatar 2022,Panini,"63,00"
28,A garota do lago,Charlie Donlea,"9,89"
29,O lado feio do amor,Colleen Hoover,"34,89"
30,As cinco linguagens do amor - 3 edição: Como expressar um compromisso de amor a seu cônjuge,Gary Chapman,"28,46"
